Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"LGA (UR) by AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"Strathfield (A)",4307,4361,8866,7246,4616,4546,3070,1885,1137,286,3,40313,
"Sutherland Shire (A)",27972,26805,25438,27750,31326,29440,23927,15030,8626,2123,30,218465,
"Sydney (C)",11006,11408,65970,51398,25386,18843,13548,7063,3156,596,12,208376,
"Tamworth Regional (A)",8052,7820,6810,6890,7400,7798,7167,4868,2363,494,10,59662,
"Temora (A)",788,779,525,556,699,877,846,626,337,67,5,6110,
"Tenterfield (A)",655,716,435,492,756,1058,1348,782,325,57,0,6624,
"The Hills Shire (A)",21933,22945,17334,20042,24341,20623,16705,9185,3445,682,9,157243,
"Tweed (A)",10142,10168,7612,9303,11280,13091,13280,9649,5560,1274,21,91374,
"Upper Hunter Shire (A)",1909,1802,1493,1646,1852,1899,1702,1105,589,106,9,14112,
"Upper Lachlan Shire (A)",861,921,594,661,969,1284,1192,789,356,63,0,7694,
"Uralla (A)",712,813,440,576,808,961,938,550,226,24,0,6049,
"Wagga Wagga (C)",8618,8425,9403,7892,7621,7528,6341,3938,2090,528,9,62383,
"Walcha (A)",359,333,276,266,375,452,485,379,140,34,0,3090,
"Walgett (A)",866,631,689,679,716,930,830,581,161,24,0,6112,
"Warren (A)",410,297,262,298,320,410,337,262,99,27,0,2730,
"Warrumbungle Shire (A)",1093,1075,775,783,1055,1420,1484,1065,526,112,3,9380,
"Waverley (A)",7806,5347,11067,14897,9898,6749,5113,3283,1994,649,5,66813,
"Weddin (A)",409,388,242,331,397,549,626,457,211,50,0,3660,
"Wentworth (A)",875,799,638,687,881,1031,1017,587,231,51,0,6798,
"Western Plains Regional (A)",7193,6296,6540,6155,6167,6530,5440,3605,1783,349,12,50075,
"Willoughby (C)",10130,8268,9589,12562,11363,8677,6765,3856,2383,688,18,74303,
"Wingecarribee (A)",5302,6139,3845,4196,6069,6614,7130,5622,2437,518,3,47878,
"Wollondilly (A)",7054,7041,5649,5974,7061,6470,5192,2706,1115,249,9,48520,
"Wollongong (C)",24677,24888,28880,25130,26414,26404,21652,15125,8609,1818,41,203630,
"Woollahra (A)",5685,5385,7600,8850,7398,6421,5849,4239,2092,690,21,54239,
