Australian Bureau of Statistics

"2006 Census - Ethnicity"
"Local Government Area (LGA) by Age 10 Year Age Groups (AGEP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Age 10 Year Age Groups (AGEP)","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"Warren (A)",462,269,262,356,465,356,305,191,68,16,0,2748,
"Warringah (A)",17666,15572,15782,22126,20028,15807,11862,8201,5699,1063,29,133837,
"Warrumbungle Shire (A)",1386,1318,730,1039,1343,1470,1226,844,380,74,0,9808,
"Waverley (A)",6196,4887,10813,13639,8290,6560,4266,3190,2384,470,14,60713,
"Weddin (A)",436,486,264,382,514,561,482,338,152,30,0,3636,
"Wellington (A)",1210,1198,668,851,1097,1088,948,727,287,47,0,8122,
"Wentworth (A)",922,994,614,878,1007,1008,700,428,200,35,0,6778,
"Willoughby (C)",8130,6841,9786,11011,9658,7726,4586,3241,2134,468,16,63604,
"Wingecarribee (A)",5518,6226,3213,4800,6263,5815,5203,3348,1594,277,9,42272,
"Wollondilly (A)",6396,6631,4376,5909,6379,5328,2944,1540,711,114,7,40344,
"Wollongong (C)",23181,24678,24845,24684,26541,22671,16762,13179,6712,943,27,184210,
"Woollahra (A)",4825,5151,7151,8810,6831,6605,4848,3111,2335,491,10,50162,
"Wyong (A)",19176,19953,14298,17713,19077,16668,14132,11688,6124,956,11,139804,
"Yass Valley (A)",1878,1906,1053,1813,2152,1958,1283,721,314,53,0,13133,
"Young (A)",1791,1780,1228,1426,1567,1584,1180,863,478,77,6,11981,
"Unincorporated NSW",127,85,123,162,213,193,130,53,19,0,0,1125,
"No Usual Address",755,780,2365,2078,1437,1438,848,331,127,17,0,10175,
"Total",852356,886421,856006,941573,958390,831024,572052,398998,215231,36071,1054,6549174,

"Data source: Census of Population and Housing, 2006, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
